region_key,median_income
mineral_colorado,52455
moffat_colorado,70975
montezuma_colorado,63005
montrose_colorado,66072
morgan_colorado,75407
otero_colorado,54897
ouray_colorado,84556
park_colorado,95450
phillips_colorado,60372
pitkin_colorado,100318
prowers_colorado,57601
pueblo_colorado,62250
rio blanco_colorado,72620
rio grande_colorado,62166
routt_colorado,104803
saguache_colorado,54283
san juan_colorado,73889
san miguel_colorado,80117
sedgwick_colorado,52833
summit_colorado,106255
teller_colorado,80666
washington_colorado,65164
weld_colorado,93287
yuma_colorado,60051
capitol planning region_connecticut,91541
greater bridgeport planning region_connecticut,87135
lower connecticut river valley planning region_connecticut,101117
naugatuck valley planning region_connecticut,86365
northeastern connecticut planning region_connecticut,87564
northwest hills planning region_connecticut,91035
south central connecticut planning region_connecticut,86266
southeastern connecticut planning region_connecticut,84185
western connecticut planning region_connecticut,124553
kent_delaware,72872
new castle_delaware,89901
sussex_delaware,78162
district of columbia_district of columbia,106287
alachua_florida,59659
baker_florida,70833
bay_florida,70188
bradford_florida,59740
brevard_florida,75817
broward_florida,74534
calhoun_florida,46901
charlotte_florida,66154
citrus_florida,55355
clay_florida,86094
collier_florida,86173
columbia_florida,55070
desoto_florida,50868
dixie_florida,47655
duval_florida,68447
escambia_florida,65715
flagler_florida,72923
franklin_florida,62734
gadsden_florida,46047
gilchrist_florida,61070
glades_florida,38905
gulf_florida,67361
hamilton_florida,47696
hardee_florida,54231
hendry_florida,53044
hernando_florida,63193
highlands_florida,55581
hillsborough_florida,75011
holmes_florida,48236
indian river_florida,71049
jackson_florida,47327
jefferson_florida,56984
lafayette_florida,60692
lake_florida,69956
lee_florida,73099
leon_florida,65074
levy_florida,53805
liberty_florida,53824
madison_florida,48176
manatee_florida,75792
marion_florida,58535
martin_florida,80701
miami-dade_florida,68694
monroe_florida,82430
nassau_florida,88900
okaloosa_florida,79097
okeechobee_florida,52288
orange_florida,77011
osceola_florida,68711
palm beach_florida,81115
pasco_florida,67384
pinellas_florida,70293
polk_florida,63644
putnam_florida,47256
st. johns_florida,106169
st. lucie_florida,69027
santa rosa_florida,88968
sarasota_florida,80633
seminole_florida,83030
sumter_florida,73297
suwannee_florida,55479
taylor_florida,44985
union_florida,64922
volusia_florida,66581
wakulla_florida,74183
walton_florida,79281
washington_florida,52723
appling_georgia,43728
atkinson_georgia,38438
