RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1692.3490006728061,1704.5196162876077,1721.0456459483132,1736.0654344045145,1752.205096128411,1762.5350767354278,1775.4399721905481,1784.4709221123417,1797.4978536327123,1802.0275309507424,1809.036815501836,1815.8577025196812,1827.4003345306778,1838.918911163376,1852.6001732329069,1864.092130227411,1877.6516515129965,1887.9605216522252,1900.7501260650963,1907.8820554394442,1913.862385110337,1915.5911670450168,1916.4088661127323,1920.954891131885,1935.4926804955203,1952.4340841769117,1972.8468883075807,1985.1930929454993,2000.5799703178036,2009.891172130911,2021.18870737948,2026.4427046587355,2031.5722303696198,2032.8637355325095,2036.8938424594407,2042.5590786180403,2053.2220547015786,2067.531569843509,2077.8759166271648,2087.479889794602,2095.74107141179,2108.983641493027,2120.997170180257,2130.978949397796,2135.104535856227,2138.754115104832,2143.714413322368,2148.9460561424526,2154.2420634710866,2157.922253692227,2171.1373654391105,2183.6748276049143,2197.382365206405,2206.5115293952385,2214.1508584938397,2219.7264615391286,2223.0175579944107,2224.182242692884,2225.4809796347668,2227.994359662532,2234.3682753807307,2239.2427573570117,2239.7232910978387,2231.6204783201606,2224.586116176697,2221.641544964757,2223.4664931233574,2222.2704518775654,2216.5956252045376,2211.679526515379,2209.3808002002097,2207.321833426617,2213.807333871756,2220.8162019013716,2231.842093916548,2240.8321542029043,2257.4270736075496,2287.372629744,2323.5292974965246,2364.4376334815706,2395.094686733914,2416.4383224824646,2427.9504124228383,2444.5804736314008,2462.861267665285,2488.134975857792,2510.2441254753207,2536.733761123916,2558.243536652546,2578.9672374474485,2597.948258148472,2614.276385047467,2624.3122014294677,2622.0460325817353,2618.0521283598837,2613.312016789642,2615.7459297119126,2622.7371359722592,2637.2483488784255,2647.2232030919695,2654.6475685157357,2657.9165452635343,2664.1025274467925,2669.8322682554226,2671.028163840243,2668.1930150985577,2659.4410620410645,2654.27930851319,2657.2838170640807,2667.2920070588275,2680.825772725631,2692.2878344618334,2703.045988876403,2712.354934250663,2721.6233857568927,2726.4673328758686,2731.064063660169,2729.0134138672524,2726.020562602556,2720.744616779772,2744.7427229351097,2769.2138170166863,2793.9164072888534,2789.8621827881775,2791.8830019610646,2793.121895076962,2796.768627541288,2797.2082697561714,2798.174951543271,2795.522734522829,2787.993801504248,2777.754159897826,2779.8122763307197
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1415.606778310046,1424.5124962168018,1435.6610723481774,1444.7769741450893,1455.644405403588,1466.1685806968258,1471.554233699336,1474.6998930082384,1469.3892292366195,1461.3396965104598,1451.7548922136568,1451.3447703301947,1460.6467568817684,1473.2401313030523,1485.5648044391228,1493.5682827724102,1501.456596878797,1510.0485982021069,1516.9578802983997,1521.661630395514,1514.8299444171807,1503.8850152290947,1489.518860365452,1482.7912857630054,1488.9855178761504,1504.4498239746997,1524.122765681202,1538.0935560184544,1549.5949617272734,1555.9792042293968,1557.9929693804854,1553.0976709334884,1545.926919600198,1533.009413079472,1523.6398572505275,1521.1866433538974,1530.7470202323298,1544.957775796693,1557.563843871042,1568.2952976677489,1578.6273252718254,1588.7225830658028,1594.0226047672581,1590.985168123711,1578.2583698334809,1564.6176504514187,1555.6835302324894,1556.3212782500623,1565.9592253637973,1577.708462539788,1595.181815204505,1609.2289522071308,1622.3180212885138,1629.5169378988628,1632.4242786544512,1632.7876888553872,1627.3984819189918,1620.0768394081583,1611.043087039069,1604.9276869976895,1613.7182946914393,1626.220878535939,1641.8585978789097,1642.782567555609,1641.4212442975738,1638.3347345999343,1636.1689643570917,1627.8467619048959,1609.0030043002675,1582.7742649575155,1560.3848545546173,1552.4024708444297,1555.0744117045938,1568.108362301473,1585.851041121021,1613.2281083708397,1641.120721422114,1666.5560915565509,1684.2340915253274,1694.9807310287101,1699.3115130067574,1697.0415126453504,1695.1440731195737,1700.1748637045284,1714.744481134546,1732.57567886262,1754.3234525152861,1778.2635743381115,1804.3892939827595,1824.6407247928948,1840.3612054200398,1847.2078227775805,1846.3603803288677,1840.7785786267646,1835.6543397398398,1837.0478233147428,1845.866705445366,1861.0506438487894,1879.6652431219388,1899.2347852975975,1921.2724942207115,1939.2603565245422,1950.4574381613907,1955.205576589587,1949.7389332549901,1939.2158337317546,1930.3563386786,1932.047331132938,1942.8002593270712,1959.1543401795495,1975.7380941354963,1996.598149296974,2013.8884540919166,2029.81206614062,2036.805019340385,2037.8942168736485,2033.7539805142867,2029.9465143339178,2028.878764490857,2032.3380879640404,2042.6392567439273,2061.4254670620535,2084.6308691046984,2108.810999718526,2130.874249778411,2150.7508156266686,2161.812073717238,2165.4814250509976,2162.733326524637,2155.40688128971,2149.463309526841,2146.410467949799,2160.294413358552
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1165.622139026184,1168.4126193752488,1173.8761583053533,1184.7615019146367,1194.62050677188,1203.3947883896458,1203.3084537312045,1204.7256834661089,1203.0484972500592,1201.294418935767,1198.0286871751316,1195.5068287239162,1196.1087910638748,1197.7238889350367,1203.3267427856997,1208.8417484530203,1212.266343547327,1213.2674301441457,1212.1411612696863,1209.6943488515283,1204.8680808782012,1201.6973854460225,1196.4282456943888,1193.816991339311,1194.2101033221084,1202.038956387571,1210.8228045838978,1215.1601164939937,1222.0762019433005,1222.899480731013,1223.4822619056306,1218.6703535139875,1225.4005925733288,1233.759120155875,1245.3548803612525,1252.2463352065495,1254.5133086701987,1260.3148621274213,1261.0768610541093,1269.2235059743455,1271.588059891455,1276.4622569231199,1275.635226473858,1273.5650538176258,1270.0343886976887,1270.4981824905922,1272.7710461278198,1272.791441178496,1272.5506334371496,1269.4463254659436,1275.442083047974,1280.8318665729555,1291.2070106244305,1297.870416013525,1301.8330940795354,1301.7139244476323,1298.216918355786,1296.9102016982113,1295.5101349182157,1298.904743407809,1302.0073519968482,1308.1533637248795,1314.082702479976,1310.8748750706525,1305.9330988150477,1300.848255555411,1305.1179061617524,1308.8145916395863,1308.2514613881788,1308.4201840233825,1308.2767032692905,1308.026448672489,1311.5538006441113,1314.8042096874008,1323.3895609960189,1335.5587965038649,1354.9039360802171,1381.0958858009535,1404.5967276222957,1426.1146466906764,1438.0447416170628,1444.872682034019,1447.9710533931986,1450.3678981234136,1455.602136228414,1465.289405325828,1476.1230123857308,1487.6754006476708,1498.7075850712595,1512.878089563207,1524.865643466581,1531.7712362045656,1529.818273437138,1524.029343761096,1515.9308354882203,1513.8930046122653,1517.0707210640478,1524.877204430679,1535.7244250624528,1540.9321123162672,1548.964144709356,1555.4367449840188,1561.8050681356306,1563.4150217512677,1559.0330621420933,1554.2726163560853,1549.0062754834548,1548.260677670889,1550.2956969752718,1554.9317291954594,1558.0512708934573,1564.60137628266,1571.7302025742795,1579.1880013426214,1582.7732263656,1585.8444622678796,1586.8420539363808,1585.7253742766943,1580.921475475694,1578.0419254351061,1578.5336142210779,1583.802455138385,1593.5775980428023,1599.253791939702,1600.9730684894548,1592.6578395501615,1592.7246959987376,1591.546065140671,1593.9672703395079,1587.2076984789912,1579.9977893357411,1574.1247524948087,1572.9282625978776
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,912.089403707429,926.8096643427406,933.7855802207281,946.7449721300586,946.954873164708,954.9012829550977,955.0547563363073,956.3249347404019,959.1674024121157,961.7274134236905,965.3771978646372,966.7703790442392,971.928460995221,976.6214041660027,983.6997857701189,990.4471287629005,998.2494294997481,1005.1120803806955,1009.0333221740243,1011.0024842535756,1011.9200812018502,1011.5539650670837,1012.9798348210473,1013.7965889579309,1020.4667294475345,1028.550080163334,1040.0619718891487,1049.3084769970055,1058.8212152446786,1064.9950509455266,1069.9637560923265,1071.9424746641093,1074.5080261319704,1076.0837692134578,1079.2508321232144,1081.6182272134074,1086.4965567895458,1092.5019124983007,1104.4015213424054,1117.7311161136777,1128.663497662676,1136.6283074488622,1143.710912886395,1149.5152096849004,1154.590566486817,1157.907218728264,1163.403470527617,1169.0393437486414,1172.8215328126334,1181.491978537973,1191.5931259765853,1206.7855430465029,1217.7811906885827,1228.0743821247888,1235.5429218081545,1242.4069968081446,1246.7956111267838,1250.2632717066163,1255.3020909798051,1262.885552773426,1271.9290747146454,1281.9580753095438,1288.1080527139152,1288.3663435741983,1287.1802654965577,1291.1899820287244,1304.723627992039,1320.7083048929755,1336.1413997094771,1349.7698979571176,1362.432568846795,1372.4053115148158,1384.7050252566848,1398.0524953292518,1420.2643484919713,1447.5186503205387,1485.561414097193,1529.2095162614928,1576.1101650389369,1617.9508820192425,1648.2616684249513,1668.927893454919,1680.6411034240634,1690.0209046359353,1698.5564681355904,1709.4490720593783,1722.873115698115,1734.6098086316772,1742.4254611758813,1748.9533075083505,1753.8729027191687,1754.6635865149071,1746.0585857377919,1734.5343345202878,1723.2786616647572,1718.5541856329967,1716.1947632576732,1721.9748219831065,1735.5325422718374,1742.4030758857386,1745.9540723529183,1742.530904614038,1747.067363885827,1746.791383691504,1743.4992467338866,1733.8449786565782,1724.5479910420281,1717.246366719405,1719.080922969742,1727.3612914662733,1736.450703949398,1743.726510253507,1747.9811744863498,1750.974687933441,1752.4188127896796,1751.295179541107,1747.7270412103353,1738.4224386630758,1729.5318107572527,1722.7827188570552,1725.4425492284133,1735.029634886677,1744.8089743211622,1749.2318058849824,1747.478092600063,1745.2709089548187,1742.7918167744444,1737.7179493487793,1733.6556164596266,1726.74773147964,1718.048516647577,1712.987813946558,1713.7891139683104
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1596.9549501556498,1607.068475269139,1615.7264418939394,1619.1449306494053,1629.7137371813822,1637.8111908346214,1653.5285550894089,1663.8806858078651,1672.3882243757275,1675.5950687575858,1674.5631770304028,1680.6378654839925,1685.7509811707,1694.4841888527892,1702.762867814567,1713.1000131412936,1725.0791239946795,1739.611721291191,1750.924083620346,1758.7293529526316,1761.6327251095488,1764.2341436877962,1764.6348421873163,1766.6688758712748,1772.258875347201,1788.090361642348,1806.7901496061515,1825.1820379834885,1839.5036018828043,1850.4383284602359,1861.5470516884716,1867.3672687078792,1869.8435012120578,1869.2560771223566,1869.5298554861897,1871.467117978713,1881.556895488116,1892.8971667642718,1907.1723420259582,1917.7808657830717,1933.0511070195053,1943.7140237966423,1954.8510073106002,1961.7249674717011,1966.3747602144513,1965.5939347717008,1960.2889583832882,1962.8218792686878,1967.29576547375,1974.5938897806718,1980.3397545218072,1989.7164433795342,2002.852678666556,2014.6528119426398,2026.6700063739015,2033.4923845102965,2035.0868317577394,2033.9939563287253,2034.6224466167814,2038.4509466927493,2043.7304225120567,2048.475443624106,2052.0249998734635,2045.0786662814146,2038.8237651647464,2038.333885628479,2049.2237617873893,2058.542052321239,2071.0252559222736,2085.493318640251,2099.5717805668405,2108.4619707680577,2115.3544327000554,2126.1696190805837,2142.5849886273654,2169.7597221206966,2204.9609276259052,2242.835983208627,2290.1259104118776,2340.295497781781,2392.4862944857878,2424.083770964568,2444.8928990599015,2458.3270061687513,2476.649543701931,2502.4649701674975,2532.883092795279,2574.995739560858,2617.4562014001804,2661.2657442314357,2691.286464122032,2715.3193911821772,2719.4958105913474,2713.5300577054904,2695.4702509769954,2686.401477875646,2681.703164211842,2690.1481130742627,2714.7597436590377,2742.962439085252,2774.2313216146995,2793.296294157139,2809.7794375418916,2815.8936072824067,2813.3900833646703,2800.5456856382434,2778.6591737177805,2760.8966258633213,2753.655424376518,2762.929584927918,2779.0449530390188,2798.0244091811014,2815.4562832965453,2830.807897161155,2841.4443253725276,2843.319297508171,2842.162245888846,2840.026846909227,2837.2005353285085,2830.5735026861353,2832.5294613619526,2841.1706243356584,2859.2164633166035,2869.433100283783,2879.141277970582,2887.5239125319586,2892.463821779797,2898.1000041515804,2894.8733394837436,2890.9271684338723,2875.5715553251193,2867.3093268386897,2870.5182872405862
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1853.743233337102,1862.6545284561316,1873.4074180233588,1888.5856028220649,1899.9953124807575,1913.0210886796388,1922.947195068544,1936.1058028133389,1938.4249023228815,1943.7494892612858,1942.2183568728183,1946.3199101946122,1951.1515440385176,1959.4033886335078,1964.9457354382123,1973.523363345391,1987.7576783988052,2005.5368847168231,2015.0633959733707,2017.2370364889723,2018.6662759383926,2015.6524377204917,2021.1960063266001,2016.5261650805728,2026.7078935227883,2038.9411069300745,2063.0587769038443,2080.457405704486,2087.993729653109,2098.423638579651,2104.5655310637803,2111.2825038343703,2112.0817063438903,2108.9290268867717,2112.33404203571,2113.2554853817774,2124.232179798712,2128.760416098126,2140.899191553657,2147.788114091383,2156.1071311508003,2163.312204334398,2168.365747675667,2170.281717730211,2170.795356886096,2173.723507605915,2178.380159878259,2179.69926213787,2182.954499501413,2188.4342955097204,2199.404389404308,2205.598612529641,2218.1624182001547,2226.7516750280247,2237.766898245956,2239.5750790976067,2239.9728699668553,2240.1805309066367,2244.771711811252,2247.8212268331094,2256.0841106766866,2262.0885593149633,2266.6665963816577,2252.0038431084577,2238.5237433425627,2230.544345394217,,2245.0661731152477,2257.969653814172,2271.3144795135495,2280.404187278431,2287.8693501312664,2301.807542519838,2322.0766347530457,2344.841548236062,2364.820109773071,2391.7471419713406,2437.0612773462017,2505.604597825341,,2660.3631155643793,2700.876287015593,2722.918820884799,2733.8734623070495,2752.1674606928927,2771.4300550016596,2800.2386777482243,2834.7924587422817,2864.373942663442,2893.9628021753674,2911.304795974856,2921.1220352168416,2915.1409840538836,2902.7705961166175,2894.0833196174844,2878.8702342886786,2869.794706771328,2865.238955139551,2877.255696321007,2890.793789114065,2907.0641150332417,2926.4182721043476,2958.898242364552,2985.155605197707,2997.5143103802257,2995.435281537979,2985.3470518184567,2985.4923171566916,2984.1113913751815,2989.986340857397,2989.107344010328,2995.0061242870147,3004.8046932575276,3022.7611370366294,3042.7341830455402,3058.4306931460233,3064.65424486451,3063.8053666699298,3056.9033910739577,3050.1957495057177,3057.3707413237835,3072.2489538745335,3093.4703901582816,3106.2518494307774,3116.3232083859734,3128.2442386303524,3131.0395095183144,3139.948552001446,3143.817569115266,3145.1638585812057,3142.8899258114434,3139.0386229205105,3143.2610770522265
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2226.0602464137337,2243.457093816148,2267.244133989391,2286.088613916599,2307.879903663443,2337.215383078623,2353.774201971948,2364.8188973304605,2379.433257104865,2388.3857348589095,2379.3369943282287,2354.3560087284145,2343.901534750314,2345.933489482943,2361.9983880060495,2367.5374526990986,2378.014819976749,2388.9656081802555,2407.2504630433714,2422.458434325406,2428.981086850825,2425.8237826917484,2427.4676215951995,2414.247380590322,2404.3215699544367,2393.802754059668,2398.6092378611625,2413.8400749862776,2427.016128021978,2443.417728896864,2459.172911884609,2471.192649523255,2471.3567975905717,2454.7514840136987,2436.1335594400025,2423.742213402737,2423.0747094284716,2423.982306854733,2436.7330171071503,2454.2497642138364,2473.6330544191055,2488.4589257057114,2499.0349343533476,2509.360560607681,2511.278459633581,2502.9375381861114,2489.0032268241275,2472.3659333923583,2473.877770741555,2487.044247890456,2513.168274375003,2531.4568412665813,2555.229935847393,2570.8662600401494,2595.222044970824,2610.1277012762716,2624.5825449873632,2627.292681237572,2624.411699600726,2617.049844480321,2616.8068791850824,2625.0725006922994,2639.9997037349663,2632.627440461337,2615.262516707636,2584.7888032857245,2563.3562209866477,2527.0232895065406,2481.2474744388337,2437.161845926488,2404.4620931425357,2386.3709795606824,2379.0296990205625,2387.501065761404,2408.565773408059,2440.1847240206876,2478.3896758211345,2529.579299733581,2585.0068884558978,2638.6962593696558,2683.50134056983,2707.7997291122733,2728.108896739799,2738.8711297735804,2770.171576946963,2806.236983202289,2856.027372433423,2899.109060110835,2957.788716390479,3018.882048804237,3077.5016717864055,3115.993869869711,3126.0225442850074,3117.1300814367733,3078.5294901307357,3047.220308924702,3040.5486191902846,3055.1902848720256,3080.1686263637603,3108.2444027948072,3144.1499865695346,3182.2651812109643,3210.147672000033,3226.89291583987,3233.163701752703,3215.6978527938613,3180.499667147428,3154.534572387646,3153.683228486844,3180.050596037708,3208.972878867186,3236.354997682056,3270.6335159992364,3306.1181609631794,3332.854448528095,3336.143806539611,3322.2623499062147,3299.945785027104,3274.6191466411437,3247.2120623274927,3240.9106296003038,3264.810004165132,3310.3968686478215,3356.4445399660226,3390.9710589944652,3433.012705939096,3465.558477137804,3490.0298026216356,3478.641222072447,3459.37316657855,3425.938908756873,3410.3212870733364,3414.202913180594
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1587.8933151072529,1597.4378711657698,1609.5295502115137,1619.946909216025,1630.71032422009,1637.8925771223621,1645.3898049411587,1651.5098154558377,1659.172230518004,1660.6988783288098,1667.4339741167605,1672.4526094864893,1679.5854386004373,1682.626944258303,1684.5705130343445,1684.8696039242675,1684.953753438594,1683.6130985341583,1683.7077308690243,1680.2266848156191,1679.5730331745608,1677.207237008443,1675.0416964040282,1669.0842772975461,1673.5136780513549,1678.8574838086843,1690.2287810569426,1692.0061560151357,1695.7753433400712,1696.8765219106244,1697.5363680495418,1699.8811933172663,1702.4138726485335,1706.605732537972,1705.895381579863,1706.7099268408294,1708.732358525798,1713.3404159883814,1718.2947588474956,1723.7358446939463,1727.2335595769719,1732.1838249436935,1735.750022097059,1741.7260693410046,1744.879732252264,1749.5245962426122,1750.864384684477,1752.8696575481977,1753.2341964273269,1751.714173757637,1754.8115336698613,1758.9830245317412,1767.1359211811998,1770.3880404797042,1770.846796386409,1771.5510596682611,1772.9785496204197,1781.9931151958478,1792.878890679682,1801.9216898418308,1804.197054537891,1806.2976164560014,1805.9954587436525,1797.0035217576647,1783.9296941593805,1778.2161221165043,1781.248071001972,1782.181259693855,1779.545033594252,1784.0275312530584,1798.1225684703668,1816.2219217805837,1838.896661090795,1872.7983043525119,1909.100680754942,1949.7062182035731,1991.472643393935,2044.6319205778407,2109.1568079311214,2168.6876903975226,2224.357387695259,2266.321276831693,2310.4613229245074,2361.3136674154807,2405.980691235672,2463.7631698185905,2516.2278163057954,2577.7332397350574,2623.7353988864234,2656.329866297244,2681.2163093970075,2691.9225081488794,2701.1765077328387,2698.2333120410044,2694.022655770055,2694.0669825811915,2696.4612100479276,2705.360712304404,2715.406921813917,2726.355946807101,2730.2761340969623,2727.146754049277,2722.7310609708916,2719.24094879279,2716.8804755533974,2718.415902483371,2720.441698013101,2717.4271617540917,2718.3896519293594,2728.577129564168,2747.651940838129,2763.4685101890223,2772.872074386843,2775.93338813683,2777.236956666657,2776.0863561842307,2777.52468688304,2777.7193243932697,2775.1596594899356,2774.0227687752363,2778.0173975970674,2786.182714846752,2794.7914578727255,2800.146598346225,2806.5782348653293,2806.2594676394415,2802.641861591398,2790.8787962327315,2782.7751564578502,2776.8370407545376,2776.480530051165,2775.42687209035,2774.562472847226
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1027.052360865679,1028.7881413907514,1035.6879154281335,1050.3048105850482,1063.1622921057692,1072.5707104726278,1080.2297084810443,1083.1978626220398,1085.8550564315906,1085.5595428089082,1089.8540168702486,1092.240250693547,1096.2270440848524,1101.6326485086688,1108.837717095126,1119.2806154454997,1126.9920405017929,1138.093005370773,1141.5181694562502,1145.1420318412156,1143.780719019739,1150.3915376885943,1152.7760574438346,1157.3926136755747,1163.2650120356839,1167.309584096027,1178.4869862279163,1185.7934868081018,1199.74888732118,1205.4439021555152,1210.1560235279271,1209.5456320351257,1209.7635019613112,1207.8849980734065,1216.087409335635,1218.8848700200765,1222.5019281270563,1227.653084453916,1230.5545493317675,1235.4731615714613,1235.746344355712,1247.798799527502,1253.511109459976,1256.6485489581416,1249.2602138440213,1250.7020720382861,1253.0069874012438,1257.023034548367,1262.2662533381617,1264.5381723849016,1274.0006268120906,1281.2251106677018,1289.6704328338813,1301.1932252786746,1303.6037478981095,1306.6194240695695,1304.4413091746958,1303.5249469366668,1300.10910150058,1294.1890548128986,1297.859455439726,1303.2268507435467,1310.308105392241,1308.5537450691443,1306.0688078603814,1305.2309874178131,1306.4244833865084,1308.8194969684378,1310.0731204310255,1312.4810642322311,1311.4212916912581,1314.7510429418128,1319.9012495423772,1332.0059070524064,1341.3678061052374,1358.6904027522962,1379.9190706799764,1410.811469565599,1443.1002852535137,1473.494536043601,1495.4997552773084,1506.9972641838567,1514.6628634878261,1522.422658578598,1534.601981254969,1550.5097641290442,1562.5986716128934,1581.407671148422,1602.19703937518,1635.449739245102,1657.3181410340637,1665.1271777489392,1658.0509070694777,1641.1999233709575,1629.5639693382047,1619.3869437255998,1617.197214906627,1619.0983336697072,1628.8028073587288,1635.2872386615043,1642.1235180945623,1645.7504643324285,1652.366638303759,1652.8288646268693,1648.3761080837949,1639.7039889384296,1631.5091264363223,1622.2805750545988,1618.5899608075956,1617.534588782847,1619.1754515719138,1623.9943475282262,1629.740335208638,1638.36243599792,1644.3896323064434,1646.0397345041215,1641.300705199114,1635.0204475578719,1629.6904460150474,1625.1051248470055,1621.2194677570621,1624.4430691602595,1633.1674525079789,1646.0805800310825,1650.9558619115553,1653.456192451587,1650.3893405127656,1646.0669269336797,1641.30743999662,1636.8874049166363,1635.626472066657,1630.6289108926196,1627.6343713258602
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1302.9021244879143,1306.9102942596448,1309.9507828844355,1317.1162897009021,1323.209639970184,1332.8995205095662,1342.7170219521038,1348.5358863194965,1354.718049475903,1361.605691168793,1366.1804189476838,1370.6411729553024,1369.8580746063928,1379.1907364403755,1381.1323503012138,1382.5188819225746,1386.0051168899067,1391.3903174175575,1403.1796881112516,1407.783166531453,1420.4570102319988,1422.000752331918,1429.3167741237546,1427.3120358482638,1442.6937136922008,1451.71366140023,1463.7027842611737,1473.2808136319477,1482.2400108626462,1493.95473065177,1500.3725691254053,1512.4506843330003,1518.5200603143737,1524.0460034021924,1527.7902804189523,1528.8859899845936,1535.5350329426738,1545.495512513967,1557.4885734635222,1561.8436993083994,1563.468797550532,1571.2434477248978,1581.596481449469,1592.9167088290205,1602.7818841199078,1613.7450228925225,1619.7198592882928,1624.9905522016838,1624.984006680167,1626.4570858168954,1634.4189221570905,1645.1919576673904,1656.6283667149814,1662.6797967786417,1672.416017206376,1682.6074025740677,1687.3763200484368,1692.073254071385,1694.5262263163622,1700.1525040572433,1703.7165426209099,1710.3503764855998,1713.9917320364932,1710.9112559465088,1706.8097824446966,1717.8732230969508,1739.0358354252182,1769.3282541724138,1794.475282239475,1819.25794837401,1838.9291163526582,1860.1483251346754,1883.3755968742416,1907.9776650554136,1933.166154054667,1948.600078717021,1981.785668951646,2015.9620579057846,2067.895532136114,2109.482837467853,2148.7839888255016,2168.100224080052,2186.53294396477,2188.7181636290675,2210.38360821197,2223.4991085290812,2255.407293004631,2279.1935751343613,2301.4672344020487,2318.463458666085,2331.1901210446167,2340.0102495581423,2345.7416698644797,2339.789563345845,2329.6403489994277,2322.4362747376185,2324.5889653483905,2333.046378359487,2344.061953690098,2353.451849585209,2358.0473323004326,2354.9686506932644,2358.0886699220378,2369.7719497117273,2377.049294649898,2389.4368357883022,2383.709163404974,2382.470782726084,2373.913316429218,2389.0519942730375,2401.473547161666,2412.872641684409,2419.2141315888744,2422.375772013992,2437.01559469769,2443.6938735765757,2459.471682598601,2456.709660601594,2453.4830787852343,2457.1817251102975,2471.7775894511756,2480.9112838195038,2481.2994245494556,2482.313306565611,2493.0002371974874,2496.4826017313,2494.7002040016973,2494.6403687538755,2499.7147486535623,2500.284547028393,2499.796061045989,2503.1302330446597,2510.8993637879084
